401, departmnt, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
401, proactve, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
401, corses, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
401, adit, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
401, cosent, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
402, tretment, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
402, expnsive, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
402, por, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
402, afordable, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
402, stwp, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
402, chage, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
